data file,variables,explanation,example
Bus_Routes,Route_Name,服务于特定地理区域的公共交通线路名称，例如公交或铁路线路名称。,"For example, ""BALTIMORE - ANNAPOLIS""."
,Route_Type,指该路线所代表的公共交通服务类型,"MTA Commuter Bus or 
MTA Local Bus - Express BusLink or  
MTA Local Bus - LocalLink or 
MTA Local Bus - CityLink"
,Route_Numb,分配给该路线的数字标识符。 ,"For instance, ""Route 22"" or ""Route 210"" or ""City Link Green"""
,Distributi,指的是乘客量数据或交通数据的分布情况，这可能包括乘客量在不同时间、不同日期或路线的不同路段上是如何分布的。它能够展示高峰时段与非高峰时段的乘客分布状况，或者乘客在整条路线上的分布方式,All labeled with "E1 - Public Domain - Internal Use Only"
,Shape__Length,地理信息系统（GIS）中，以内部单位衡量的路线或路段的长度。这些数据有助于呈现路线的实际长度范围。,A numeric value between 0.02 and 0.5.
Bus_Stops,Y,OSM（OpenStreetMap，开放街道地图）数据集中某点（节点）的纬度坐标，用于地理定位。 ,A numeric value between 39.2 and 39.4.
,X,开放街道地图（OSM）数据集中某一点（节点）的经度坐标，也用于地理定位,A numeric value between -76.8 and -76.5.
,stop_name,特定公交站点或车站的名称或标识。它也可能表明所在街道的方位以及公交车辆的行驶方向,"For example, ""CYLBURN AVE & GREENSPRING AVE fs wb"""
,Rider_On,在特定时间段内，在某个给定公交站点上车的乘客数量,Numeric values.
,Rider_Off,在特定时间段内，在某一给定站点下车的乘客数量。 ,Numeric values.
,Rider_Tota,在特定公交站点上车或下车的乘客总数（通常是上车乘客数“Rider_On”与下车乘客数“Rider_Off”之和 ）。,Numeric values.
,Stop_Rider,某一站点的总乘客数，可能指的是该特定站点的上车乘客总数、下车乘客总数，或者是两者之和。 ,Numeric values.
,Routes_Ser,特定公交站点所服务的公交线路的标识符或描述信息,"This could list the bus, light rail, or metro routes that have stops at that location."
,Distributi,可能指的是客流量数据的分布情况，或许展示了诸如不同时段的分布、高峰时段客流量，又或是不同日期或线路的客流量等模式。 ,All labeled with "E1 - Public Domain - Internal Use Only"
,Mode,指所使用的交通方式。,"For example, ""Bus"" or ""Commuter Bus"" or a combination of the two."
,Shelter,表示公交站点是否有为乘客提供的候车亭或其他遮风挡雨设施。 ,"""yes"" or ""no"""
,County,公交站点所在县的名称或代码。在公交线路跨越多个县界的大都市地区，这一信息尤为重要,"""Baltimore City"" or ""Baltimore County"""
,stop_id,系统为每个公交站点分配的唯一标识符，可用于在数据集中对该站点进行唯一引用,"Numeric value, not values are used."
nodes_all & nodes_drive,osmid,开放街道地图（OSM）中某一元素的唯一标识符。它代表一个节点,Numeric value
,y,开放街道地图（OSM）数据集中某一点（节点）的纬度坐标，用于地理定位,A numeric value between 39 and 40.
,x,开放街道地图（OSM）数据集中某一点（节点）的经度坐标，同样用于地理定位,A numeric value between -77 and -76.
,street_count,"与特定节点相连的街道（或路径）数量。它能够表明该节点是交叉路口还是端点。
",An integer between 1 and 15.
,highway,表明道路或路径的类型,"It can represent values like residential, primary, secondary, footway, etc., based on OSM's tagging system.  For example, motorway or crossing."
,ref,道路、路径或其他基础设施的参考代码,"This might correspond to road numbers (e.g., ""I-80"" for an interstate)."
,railway,指定节点或路径是否属于铁路的一部分,"For example, level crossing or subway entrance."
,junction,它表示有关路口（交汇处）的信息，比如路口的类型,"For example, a roundabout."
,geometry,这指的是对线或区域的空间表示，通常以诸如 WKT（已知文本格式）等形式存储。它用于描述道路、边界等要素的形状或路径。,"For example, nodes are all points on a map."
edges_all & edges_drive,u,在地图的图形表示中，是一段（边）的起始节点，通过其开放街道地图（OSM）ID 来识别,Numeric value corresponding to nodes.
,v,在地图的图形化表示中，是某条线段（边）的结束节点，通过其开放街道地图（OSM）标识符来识别,Numeric value corresponding to nodes.
,key,这是一个唯一标识符或键，用于区分同一对节点 u 和 v 之间的多条边。当存在多条平行道路或路径时经常会用到,An integer less than 5.
,osmid,这指的是开放街道地图（OSM）中边（道路、路径或其他基础设施）的唯一标识符。它可指向其所属的路径或关系。,Numeric value
,bridge,表示该路段是否为桥梁（是或否）。它可能还包含有关桥梁的额外细节,Blank indicates no.
,highway,它描述道路或路径的类型，与上一组中的 “highway” 字段类似,"Examples include motorway, residential, footway, etc."
